,Fuel,Driven_kilometers,Num_of_owners,Transmission,Location,Name,Year,Company,Price1
313,Petrol,"51,161 km",1st Owner,MANUAL,DL-3C,Ford Figo 1.2,2011,Ford,"2,10,000"
314,Petrol,"48,295 km",1st Owner,MANUAL,DL-3C,Maruti Wagon R,2015,Maruti,"3,78,999"
315,Diesel,"33,061 km",3rd Owner,MANUAL,UP-14,Honda Jazz 1.5,2016,Honda,"4,91,999"
316,Petrol,"58,581 km",2nd Owner,MANUAL,UP-14,Honda Brio 1.2,2012,Honda,"2,44,999"
317,Petrol,"62,155 km",,,DL-9C,Maruti A Star,2009,Maruti,"1,78,699"
318,Petrol,"44,191 km",1st Owner,MANUAL,DL-2C,Maruti Zen Estilo,2009,Maruti,"1,96,599"
319,Petrol,"49,248 km",1st Owner,MANUAL,DL-8C,Renault Kwid RXT,2016,Renault,"2,70,799"
320,Diesel,"59,984 km",1st Owner,MANUAL,DL-12,Ford Ecosport 1.5TITANIUM,2013,Ford,"4,15,000"
321,Petrol,"53,024 km",1st Owner,MANUAL,DL-4C,Honda Amaze 1.2,2013,Honda,"3,53,799"
322,Petrol,"61,366 km",2nd Owner,MANUAL,DL-4C,Honda City V,2011,Honda,"3,31,000"
323,Diesel,"37,481 km",1st Owner,MANUAL,HR-10,Maruti Swift VDI,2015,Maruti,"4,25,699"
324,Petrol,"53,323 km",1st Owner,MANUAL,DL-7C,Hyundai i10 MAGNA,2011,Hyundai,"2,39,899"
325,Petrol,"54,362 km",1st Owner,MANUAL,DL-8C,Maruti Alto 800,2014,Maruti,"2,33,799"
326,Petrol,"38,766 km",1st Owner,MANUAL,DL-14,Maruti Wagon R,2016,Maruti,"3,24,000"
327,Petrol,"66,960 km",1st Owner,MANUAL,DL-10,Toyota Etios Liva,2011,Toyota,"2,40,099"
328,Petrol,"14,959 km",1st Owner,MANUAL,DL-9C,Maruti Swift VXI,2019,Maruti,"6,29,499"
329,Petrol,"25,937 km",1st Owner,MANUAL,HR-87,Maruti Baleno DELTA,2018,Maruti,"5,94,499"
330,Petrol,"42,808 km",1st Owner,MANUAL,HR-26,Hyundai i10 SPORTZ,2011,Hyundai,"2,92,199"
331,Diesel,"58,850 km",2nd Owner,MANUAL,DL-8C,Maruti Swift VDI,2013,Maruti,"3,38,399"
332,Diesel,"65,421 km",1st Owner,MANUAL,DL-3C,Maruti Ciaz VDI,2014,Maruti,"5,06,899"
333,Petrol,"48,731 km",1st Owner,MANUAL,DL-3C,Honda City SV,2014,Honda,"5,75,799"
334,Diesel,"48,873 km",1st Owner,MANUAL,DL-9C,Maruti Ritz VDI,2014,Maruti,"3,60,599"
335,Petrol,"13,079 km",2nd Owner,MANUAL,DL-5C,Maruti Alto 800,2018,Maruti,"3,41,000"
336,Diesel,"56,121 km",1st Owner,MANUAL,HR-26,Honda Amaze 1.5,2013,Honda,"2,81,699"
337,Petrol,"57,718 km",1st Owner,MANUAL,HR-26,Maruti Alto LXI,2007,Maruti,"1,10,199"
338,Diesel,"61,443 km",1st Owner,MANUAL,DL-10,Toyota Etios Liva,2012,Toyota,"3,11,199"
339,Diesel,"33,001 km",1st Owner,MANUAL,DL-8C,Maruti Baleno DELTA,2016,Maruti,"5,40,199"
340,Petrol,"30,373 km",1st Owner,MANUAL,DL-7C,Hyundai Grand i10,2017,Hyundai,"4,36,999"
341,Petrol,"66,171 km",1st Owner,MANUAL,DL-9C,Maruti Swift LXI,2010,Maruti,"1,75,000"
342,Petrol,"37,380 km",1st Owner,MANUAL,HR-79,Renault Kwid RXL,2017,Renault,"2,25,000"
343,Petrol,"35,132 km",1st Owner,MANUAL,DL-6C,Maruti Alto K10,2017,Maruti,"3,69,799"
344,Petrol,"43,279 km",1st Owner,MANUAL,UP-16,Maruti Alto 800,2016,Maruti,"2,76,399"
345,Petrol,"38,347 km",1st Owner,MANUAL,DL-1C,Maruti Alto LXI,2009,Maruti,"1,52,799"
346,Petrol,"35,650 km",1st Owner,MANUAL,DL-8C,Hyundai Grand i10,2015,Hyundai,"3,55,000"
347,Petrol,"35,919 km",1st Owner,MANUAL,DL-2C,Maruti Alto LXI,2009,Maruti,"1,69,199"
348,Petrol,"53,303 km",1st Owner,MANUAL,DL-5C,Maruti Swift Dzire,2015,Maruti,"4,60,000"
349,Petrol,"5,383 km",1st Owner,AUTOMATIC,DL-3C,Maruti Alto 800,2014,Maruti,"2,91,699"
350,Diesel,"48,789 km",1st Owner,MANUAL,DL-12,Maruti Ertiga VDI,2013,Maruti,"5,22,899"
351,Diesel,"45,478 km",1st Owner,MANUAL,DL-2C,Maruti Swift VDI,2013,Maruti,"3,41,299"
352,Petrol,"37,323 km",1st Owner,MANUAL,DL-1C,Hyundai Grand i10,2017,Hyundai,"4,76,799"
353,Petrol,"37,628 km",1st Owner,MANUAL,UP-70,Hyundai Elite i20,2016,Hyundai,"5,26,999"
354,Petrol,"37,491 km",1st Owner,MANUAL,DL-8C,Maruti Alto K10,2017,Maruti,"3,44,899"
355,Petrol,"23,347 km",,,HR-26,Maruti Baleno DELTA,2017,Maruti,"6,69,099"
356,Diesel,"52,580 km",3rd Owner,MANUAL,DL-8C,Renault Duster 85,2015,Renault,"4,96,099"
357,Petrol,"8,362 km",1st Owner,MANUAL,DL-3C,Maruti Swift LXI,2019,Maruti,"5,30,000"
358,Petrol,"37,998 km",1st Owner,MANUAL,UP-16,Hyundai Elite i20,2016,Hyundai,"5,22,499"
359,Petrol,"38,574 km",1st Owner,MANUAL,DL-8C,Maruti Wagon R,2017,Maruti,"3,75,999"
360,Petrol,"65,916 km",1st Owner,MANUAL,DL-12,Maruti Swift LXI,2012,Maruti,"3,15,099"
361,Diesel,"35,604 km",1st Owner,MANUAL,DL-12,Hyundai Grand i10,2017,Hyundai,"4,19,699"
